size,trial,maxSum,start,end,ns,comparisons,assignments,arrayAccesses,allocations
100,1,10788,1,76,793000,198,270,100,1
100,2,7851,27,70,14800,198,267,100,1
100,3,5910,5,66,13200,198,248,100,1
100,4,6330,4,66,17300,198,246,100,1
100,5,5138,63,74,13200,198,248,100,1
1000,1,21040,478,665,121400,1998,2215,1000,1
1000,2,34436,16,838,119000,1998,2248,1000,1
1000,3,16618,439,665,115700,1998,2134,1000,1
1000,4,29306,58,959,118200,1998,2226,1000,1
1000,5,17101,383,811,117900,1998,2205,1000,1
10000,1,52157,7898,9849,1078700,19998,20454,10000,1
10000,2,36470,5910,6639,961800,19998,20478,10000,1
10000,3,31645,7743,8316,1004100,19998,20400,10000,1
10000,4,38055,3826,5422,1080000,19998,20442,10000,1
10000,5,56779,2541,4429,1061900,19998,20519,10000,1
100000,1,392937,848,91300,2750400,199998,202962,100000,1
100000,2,242418,861,34410,1434500,199998,201720,100000,1
100000,3,214637,25314,45007,1382400,199998,202034,100000,1
100000,4,211673,37704,76084,12971200,199998,201741,100000,1
100000,5,235179,73381,97824,145100,199998,202407,100000,1
